Outward,lat,lon
BT37,54.942530220264324,148121.6051861152
BT38,58.00099258005489,155378.11887031558
BT39,57.060627807017546,141452.95663990756
BT4,59.64686503144654,150265.93226863208
BT40,57.76462767798466,154675.6375562061
BT41,55.39992711001643,126380.96692025001
BT42,60.2258325527831,125592.50757440086
BT43,55.26275954038997,126489.80360814607
BT44,55.03404348238482,125906.71696947083
BT45,56.95579938217123,101705.31574211504
BT46,55.138088006042295,100920.37926322187
BT47,55.40085775274725,65454.681346699945
BT48,56.559496007802345,59541.09794572392
BT49,55.4450614159292,83828.69543928576
BT5,59.61835909018988,149816.40958274022
BT51,55.06093538895152,101125.07448241263
BT52,60.91127543720191,103355.74226459854
BT53,55.51417611708482,114366.5149172497
BT54,55.20491170138889,129294.52394618055
